Person,Item,Ratings
1739,mayonnaise,8
1739,rolls/buns,8
1739,mustard,8
1740,whole milk,8
1740,white bread,8
1740,salty snack,8
1741,canned beer,8
1742,canned beer,8
1743,other vegetables,9
1743,whipped/sour cream,8
1743,pastry,6
1743,red/blush wine,8
1744,soda,4
1745,rolls/buns,8
1745,soda,4
1745,specialty bar,8
1745,candy,8
1745,newspapers,7
1746,bags,
1747,rolls/buns,8
1748,dessert,6
1748,frozen dessert,8
1749,canned beer,8
1750,butter,8
1750,domestic eggs,8
1750,pasta,8
1750,fruit/vegetable juice,8
1750,newspapers,7
1751,whole milk,8
1751,butter,8
1751,yogurt,8
1751,frozen vegetables,8
1751,domestic eggs,8
1751,sugar,6
1752,canned beer,8
1753,coffee,8
1754,chicken,8
1754,hamburger meat,8
1754,pip fruit,9
1754,onions,9
1754,other vegetables,9
1754,whole milk,8
1754,butter,8
1754,yogurt,8
1754,whipped/sour cream,8
1754,white bread,8
1754,long life bakery product,4
1754,chocolate,8
1755,soda,4
1755,long life bakery product,4
1756,beef,8
1756,other vegetables,9
1756,domestic eggs,8
1756,pastry,6
1757,spread cheese,8
1757,pastry,6
1758,citrus fruit,9
1758,tropical fruit,9
1758,other vegetables,9
1758,pot plants,8
1759,canned beer,8
1760,rolls/buns,8
1760,soda,4
1761,pip fruit,9
1761,roll products ,8
1761,pot plants,8
1762,pip fruit,9
1763,whole milk,8
1763,baking powder,6
1763,bottled water,8
1763,soda,4
1763,cooking chocolate,6
1763,candles,8
1764,chocolate,8
1765,sausage,8
1765,whole milk,8
1765,rolls/buns,8
1765,canned beer,8
1766,pip fruit,9
1766,whole milk,8
1767,other vegetables,9
1767,rolls/buns,8
1768,dessert,6
1768,sliced cheese,8
1768,hard cheese,8
1768,white bread,8
1768,brown bread,6
1769,frankfurter,8
1770,citrus fruit,9
1770,other vegetables,9
1770,butter,8
1770,candy,8
1771,citrus fruit,9
1771,UHT-milk,8
1771,napkins,7
1772,pip fruit,9
1772,curd,8
1772,soda,4
1772,bottled beer,8
1772,softener,8
1772,hygiene articles,7
1773,tropical fruit,9
1773,root vegetables,9
1773,whole milk,8
1773,curd,8
1773,yogurt,8
1773,frozen vegetables,8
1773,domestic eggs,8
1774,frankfurter,8
1774,other vegetables,9
1774,whole milk,8
1774,yogurt,8
1774,condensed milk,8
1774,cream cheese ,8
1774,rolls/buns,8
1774,pastry,6
1775,pip fruit,9
1775,other vegetables,9
1775,butter milk,8
1775,frozen vegetables,8
1775,brown bread,6
1775,soups,4
1775,sauces,8
1775,fruit/vegetable juice,8
1775,long life bakery product,4
1775,cling film/bags,8
1776,canned beer,8
1777,pork,8
1777,citrus fruit,9
1777,soda,4
1777,canned beer,8
1777,chocolate,8
1777,hygiene articles,7
1778,rolls/buns,8
1778,newspapers,7
1779,canned beer,8
1780,citrus fruit,9
1780,tropical fruit,9
1780,pip fruit,9
1780,other vegetables,9
1781,grapes,8
1781,whole milk,8
1781,white wine,8
1781,dishes,8
1781,newspapers,7
1782,tropical fruit,9
1783,frozen fish,8
1783,hygiene articles,7
1783,shopping bags,8
1784,tropical fruit,9
1784,pastry,6
1784,soda,4
1785,beverages,8
1785,pastry,6
1786,sausage,8
1786,pip fruit,9
1786,whole milk,8
1786,potato products,9
1787,whole milk,8
1788,sausage,8
1788,specialty cheese,8
1788,misc. beverages,8
1788,bottled beer,8
1789,pork,8
1789,white bread,8
1789,pastry,6
1789,shopping bags,8
1790,whole milk,8
1790,rolls/buns,8
1790,newspapers,7
1791,sausage,8
1791,whole milk,8
1791,dessert,6
1791,spices,9
1791,bottled beer,8
1792,pastry,6
1792,soda,4
1793,soda,4
1794,tropical fruit,9
1794,grapes,8
1794,whole milk,8
1794,canned fish,8
1794,bottled water,8
1794,fruit/vegetable juice,8
1795,whole milk,8
1795,bottled water,8
1795,napkins,7
1796,canned beer,8
1797,pip fruit,9
1797,whole milk,8
1798,turkey,6
1798,citrus fruit,9
1798,tropical fruit,9
1798,pip fruit,9
1798,berries,9
1798,root vegetables,9
1798,herbs,9
1798,whole milk,8
1798,butter,8
1798,frozen vegetables,8
1798,sauces,8
1798,pickled vegetables,8
1798,bottled water,8
1798,rubbing alcohol,6
1798,hygiene articles,7
1798,napkins,7
1798,flower (seeds),8
1799,yogurt,8
1799,specialty chocolate,8
1799,seasonal products,8
1800,whipped/sour cream,8
1800,baking powder,6
1801,finished products,8
1801,tropical fruit,9
1801,bottled water,8
1801,popcorn,8
1801,shopping bags,8
1802,sausage,8
1802,mayonnaise,8
1802,misc. beverages,8
1802,candy,8
1803,other vegetables,9
1803,cream cheese ,8
1803,rolls/buns,8
1804,newspapers,7
1805,white wine,8
1806,sausage,8
1806,meat,8
1806,pip fruit,9
1806,other vegetables,9
1806,yogurt,8
1806,rolls/buns,8
1806,brown bread,6
1806,bottled water,8
1806,soda,4
1806,fruit/vegetable juice,8
1806,newspapers,7
1807,misc. beverages,8
1808,yogurt,8
1808,UHT-milk,8
1808,soda,4
1808,red/blush wine,8
1808,waffles,6
1809,beef,8
1809,frozen fish,8
1809,rolls/buns,8
1809,margarine,8
1810,other vegetables,9
1811,photo/film,8
1812,tropical fruit,9
1813,sausage,8
1813,meat,8
1813,tropical fruit,9
1813,soda,4
1813,hygiene articles,7
1814,frankfurter,8
1814,citrus fruit,9
1814,rolls/buns,8
1814,flour,6
1814,long life bakery product,4
1815,tropical fruit,9
1815,pip fruit,9
1815,root vegetables,9
1815,whole milk,8
1815,yogurt,8
1815,rolls/buns,8
1815,sweet spreads,8
1815,cat food,8
1815,pet care,8
1815,hygiene articles,7
1815,shopping bags,8
1816,citrus fruit,9
1816,UHT-milk,8
1816,zwieback,8
1816,bottled water,8
1816,hygiene articles,7
1817,pork,8
1817,bottled water,8
1817,bottled beer,8
1818,soda,4
1818,house keeping products,8
1819,whole milk,8
1820,cookware,8
1821,butter,8
1821,rolls/buns,8
1821,newspapers,7
1822,frozen vegetables,8
1822,sugar,6
1822,coffee,8
1823,chicken,8
1823,dessert,6
1823,yogurt,8
1823,frozen vegetables,8
1823,domestic eggs,8
1823,salt,8
1823,pasta,8
1823,specialty fat,8
1823,bottled water,8
1823,newspapers,7
1824,frankfurter,8
1824,root vegetables,9
1824,whole milk,8
1824,butter milk,8
1824,whipped/sour cream,8
1824,rolls/buns,8
1824,pastry,6
1824,vinegar,8
1824,coffee,8
1824,bottled water,8
1824,dish cleaner,8
1824,female sanitary products,7
1825,tropical fruit,9
1825,yogurt,8
1825,processed cheese,8
1825,rolls/buns,8
1825,bottled water,8
1825,soda,4
1825,misc. beverages,8
1825,female sanitary products,7
1826,root vegetables,9
1826,whole milk,8
1826,domestic eggs,8
1827,meat,8
1827,citrus fruit,9
1827,pip fruit,9
1827,curd,8
1827,yogurt,8
1827,whipped/sour cream,8
1827,domestic eggs,8
1827,pastry,6
1827,flour,6
1827,fruit/vegetable juice,8
1827,bottled beer,8
1827,salty snack,8
1827,chocolate,8
1827,cooking chocolate,6
1827,hygiene articles,7
1827,napkins,7
1827,shopping bags,8
1828,hamburger meat,8
1829,tropical fruit,9
1829,napkins,7
1830,whole milk,8
1831,whole milk,8
1831,dessert,6
1831,rolls/buns,8
1831,pastry,6
1831,newspapers,7
1832,hamburger meat,8
1832,citrus fruit,9
1832,butter,8
1832,frozen vegetables,8
1832,pasta,8
1832,sweet spreads,8
1832,coffee,8
1833,frankfurter,8
1833,sausage,8
1833,curd,8
1833,whipped/sour cream,8
1833,frozen vegetables,8
1833,jam,8
1833,long life bakery product,4
1833,candy,8
1834,soda,4
1834,canned beer,8
1835,whipped/sour cream,8
1835,rice,9
1835,popcorn,8
1836,whole milk,8
1836,butter,8
1836,yogurt,8
1836,frozen meals,8
1836,bottled water,8
1836,bottled beer,8
1836,canned beer,8
1836,chocolate,8
1836,flower (seeds),8
1837,citrus fruit,9
1837,root vegetables,9
1837,other vegetables,9
1837,salt,8
1837,bottled water,8
1837,chewing gum,8
1838,pip fruit,9
1838,coffee,8
1839,root vegetables,9
1839,butter milk,8
1839,frozen vegetables,8
1839,pastry,6
1839,dish cleaner,8
1839,hygiene articles,7
1839,napkins,7
1840,pip fruit,9
1840,root vegetables,9
1840,zwieback,8
1840,fruit/vegetable juice,8
1840,pot plants,8
1841,onions,9
1841,other vegetables,9
1841,whole milk,8
1841,soups,4
1841,bottled beer,8
1841,pot plants,8
1842,tropical fruit,9
1842,grapes,8
1842,oil,8
1842,canned vegetables,8
1842,tea,8
1842,fruit/vegetable juice,8
1842,snack products,8
1843,other vegetables,9
1843,brown bread,6
1843,soda,4
1843,canned beer,8
1843,shopping bags,8
1844,citrus fruit,9
1844,rolls/buns,8
1844,bottled water,8
1844,red/blush wine,8
1844,newspapers,7
1845,canned beer,8
1845,shopping bags,8
1846,root vegetables,9
1846,other vegetables,9
1846,whole milk,8
1846,curd,8
1846,cream cheese ,8
1846,domestic eggs,8
1846,misc. beverages,8
1846,napkins,7
1847,tropical fruit,9
1847,pip fruit,9
1847,whole milk,8
1847,curd,8
1847,yogurt,8
1847,frozen meals,8
1848,butter milk,8
1849,root vegetables,9
1850,pork,8
1850,whole milk,8
1850,margarine,8
1851,pip fruit,9
1851,yogurt,8
1851,ice cream,8
1851,soda,4
1852,canned beer,8
1852,newspapers,7
1853,tropical fruit,9
1853,whole milk,8
1853,butter,8
1853,brown bread,6
1854,pork,8
1854,pip fruit,9
1854,other vegetables,9
1854,whole milk,8
1854,yogurt,8
1854,frozen fish,8
1854,flour,6
1854,sugar,6
1854,baking powder,6
1854,long life bakery product,4
1854,chewing gum,8
1855,pip fruit,9
1855,napkins,7
1856,rolls/buns,8
1857,meat,8
1857,organic sausage,9
1857,whole milk,8
1857,butter,8
1857,UHT-milk,8
1857,frozen vegetables,8
1857,pickled vegetables,8
1857,cat food,8
1857,female sanitary products,7
1858,soda,4
1859,root vegetables,9
1860,root vegetables,9
1860,red/blush wine,8
1861,sausage,8
1861,butter,8
1861,pastry,6
1861,canned beer,8
1861,shopping bags,8
1862,butter,8
1862,white wine,8
1863,sauces,8
1863,red/blush wine,8
1863,dish cleaner,8
1864,beef,8
1864,citrus fruit,9
1864,pip fruit,9
1864,root vegetables,9
1864,other vegetables,9
1864,whipped/sour cream,8
1864,margarine,8
1864,canned vegetables,8
1864,cat food,8
1864,shopping bags,8
1865,ham,8
1865,pork,8
1865,butter milk,8
1865,sweet spreads,8
1865,shopping bags,8
1866,rolls/buns,8
1866,fruit/vegetable juice,8
1867,tropical fruit,9
1867,rolls/buns,8
1868,sausage,8
1868,tropical fruit,9
1868,whole milk,8
1868,curd,8
1868,butter milk,8
1868,whipped/sour cream,8
1868,rolls/buns,8
1868,softener,8
1868,house keeping products,8
1869,tropical fruit,9
1869,whole milk,8
1869,cream cheese ,8
1869,frozen vegetables,8
1869,rolls/buns,8
1869,chocolate,8
1869,candy,8
1869,pot plants,8
1870,soda,4
1871,whole milk,8
1871,pastry,6
1872,pip fruit,9
1873,whole milk,8
1874,chicken,8
1874,beef,8
1874,whole milk,8
1874,bottled water,8
1874,newspapers,7
1875,root vegetables,9
1875,other vegetables,9
1875,whipped/sour cream,8
1875,canned beer,8
1875,liquor,8
1875,shopping bags,8
1876,rolls/buns,8
1876,meat spreads,8
1877,butter,8
1877,whipped/sour cream,8
1877,domestic eggs,8
1877,rolls/buns,8
1878,tropical fruit,9
1878,sliced cheese,8
1878,rolls/buns,8
1878,napkins,7
1878,pot plants,8
1879,sausage,8
1879,chicken,8
1879,beef,8
1879,root vegetables,9
1879,other vegetables,9
1879,curd,8
1879,yogurt,8
1879,cream cheese ,8
1879,ice cream,8
1879,newspapers,7
1880,soda,4
1881,rolls/buns,8
1881,bottled water,8
1881,soda,4
1882,tropical fruit,9
1882,pip fruit,9
1882,root vegetables,9
1882,other vegetables,9
1882,dessert,6
1882,whipped/sour cream,8
1882,sliced cheese,8
1882,pastry,6
1882,shopping bags,8
1883,tropical fruit,9
1883,root vegetables,9
1883,other vegetables,9
1883,packaged fruit/vegetables,9
1883,flower (seeds),8
1884,UHT-milk,8
1884,pastry,6
1884,coffee,8
1884,red/blush wine,8
1884,pot plants,8
1885,root vegetables,9
1885,other vegetables,9
1885,domestic eggs,8
1885,sugar,6
1885,instant coffee,8
1885,bottled water,8
1885,soda,4
1885,bottled beer,8
1885,red/blush wine,8
1885,waffles,6
1885,specialty chocolate,8
1886,pip fruit,9
1886,dessert,6
1886,rolls/buns,8
1886,pastry,6
1886,specialty bar,8
1887,whole milk,8
1887,brown bread,6
1887,newspapers,7
1888,dessert,6
1888,zwieback,8
1889,other vegetables,9
1889,frozen meals,8
1889,pasta,8
1889,canned fish,8
1889,coffee,8
1890,pork,8
1890,hamburger meat,8
1890,yogurt,8
1890,cream cheese ,8
1890,spread cheese,8
1890,frozen vegetables,8
1890,pasta,8
1890,instant coffee,8
1890,soda,4
1890,waffles,6
1890,specialty bar,8
1890,seasonal products,8
1891,frankfurter,8
1891,domestic eggs,8
1892,whole milk,8
1892,yogurt,8
1892,sliced cheese,8
1892,mayonnaise,8
1892,rolls/buns,8
1892,pasta,8
1892,specialty chocolate,8
1893,frankfurter,8
1893,pork,8
1893,citrus fruit,9
1893,pip fruit,9
1893,other vegetables,9
1893,whipped/sour cream,8
1893,UHT-milk,8
1893,salad dressing,8
1893,frozen potato products,8
1893,salty snack,8
1893,newspapers,7
1894,whipped/sour cream,8
1894,soda,4
1895,curd,8
1896,other vegetables,9
1896,whole milk,8
1896,frozen potato products,8
1896,rolls/buns,8
1896,pasta,8
1896,instant coffee,8
1896,soda,4
1896,fruit/vegetable juice,8
1896,bottled beer,8
1896,cake bar,6
1896,seasonal products,8
1897,ham,8
1897,bottled water,8
1897,soda,4
1898,whole milk,8
1898,curd,8
1898,rolls/buns,8
1898,pastry,6
1898,pasta,8
1898,margarine,8
1899,whole milk,8
1899,butter,8
1899,whipped/sour cream,8
1899,condensed milk,8
1899,soft cheese,8
1899,hard cheese,8
1899,processed cheese,8
1899,frozen vegetables,8
1899,detergent,6
1900,soda,4
1901,margarine,8
1902,pip fruit,9
1903,other vegetables,9
1903,packaged fruit/vegetables,9
1903,frozen dessert,8
1903,rolls/buns,8
1903,soda,4
1904,whole milk,8
1904,margarine,8
1904,pot plants,8
1905,pork,8
1905,tropical fruit,9
1905,whole milk,8
1905,rolls/buns,8
1905,margarine,8
1906,sausage,8
1906,meat,8
1906,turkey,6
1906,citrus fruit,9
1906,tropical fruit,9
1906,pip fruit,9
1906,root vegetables,9
1906,onions,9
1906,herbs,9
1906,other vegetables,9
1906,whole milk,8
1906,curd,8
1906,yogurt,8
1906,whipped/sour cream,8
1906,soft cheese,8
1906,cream cheese ,8
1906,frozen vegetables,8
1906,brown bread,6
1906,pastry,6
1906,semi-finished bread,8
1906,margarine,8
1907,curd,8
1907,yogurt,8
1907,frozen vegetables,8
1908,canned beer,8
1909,napkins,7
1910,chewing gum,8
1911,ice cream,8
1912,bottled water,8
1913,liver loaf,8
1913,pork,8
1913,citrus fruit,9
1913,tropical fruit,9
1913,root vegetables,9
1913,other vegetables,9
1913,whole milk,8
1913,curd,8
1913,dessert,6
1913,yogurt,8
1913,frozen vegetables,8
1913,brown bread,6
1913,semi-finished bread,8
1913,oil,8
1913,dog food,8
1913,fruit/vegetable juice,8
1914,citrus fruit,9
1914,tropical fruit,9
1914,root vegetables,9
1914,herbs,9
1914,other vegetables,9
1914,whole milk,8
1914,yogurt,8
1914,bottled water,8
1914,bottled beer,8
1915,chicken,8
1915,citrus fruit,9
1915,yogurt,8
1915,whipped/sour cream,8
1915,spread cheese,8
1915,margarine,8
1915,softener,8
1916,citrus fruit,9
1916,whole milk,8
1916,sliced cheese,8
1916,rolls/buns,8
1916,pastry,6
1916,roll products ,8
1916,coffee,8
1916,bottled water,8
1916,soda,4
1916,bottled beer,8
1916,canned beer,8
1916,rum,8
1916,waffles,6
1916,chocolate,8
1917,bottled water,8
1917,liquor (appetizer),8
1917,specialty bar,8
1918,pip fruit,9
1918,berries,9
1918,root vegetables,9
1918,other vegetables,9
1918,whole milk,8
1918,whipped/sour cream,8
1919,whole milk,8
1919,curd,8
1919,yogurt,8
1919,frozen vegetables,8
1919,margarine,8
1919,ketchup,8
1919,cereals,8
1919,canned fish,8
1919,soda,4
1919,cling film/bags,8
1920,hamburger meat,8
1920,whole milk,8
1920,curd,8
1920,dessert,6
1921,turkey,6
1921,hamburger meat,8
1921,root vegetables,9
1921,other vegetables,9
1921,whole milk,8
1921,yogurt,8
1921,hard cheese,8
1921,cereals,8
1921,long life bakery product,4
1921,specialty chocolate,8
1921,candy,8
1921,hygiene articles,7
1922,ham,8
1922,beef,8
1922,tropical fruit,9
1922,pip fruit,9
1922,other vegetables,9
1922,whole milk,8
1922,dessert,6
1922,yogurt,8
1922,whipped/sour cream,8
1922,soft cheese,8
1922,frozen potato products,8
1922,rolls/buns,8
1922,soda,4
1922,long life bakery product,4
1922,chocolate,8
1923,citrus fruit,9
1923,pip fruit,9
1923,other vegetables,9
1923,canned vegetables,8
1924,sausage,8
1924,other vegetables,9
1924,dessert,6
1924,domestic eggs,8
1924,pastry,6
1924,napkins,7
1925,yogurt,8
1926,butter,8
1927,chicken,8
1927,hamburger meat,8
1927,whole milk,8
1927,rolls/buns,8
1927,flour,6
1927,margarine,8
1927,coffee,8
1927,canned beer,8
1927,hygiene articles,7
1927,shopping bags,8
1928,beverages,8
1928,rolls/buns,8
1928,long life bakery product,4
1928,shopping bags,8
1929,onions,9
1929,bottled water,8
1929,soda,4
1929,canned beer,8
1929,chewing gum,8
1929,male cosmetics,7
1929,napkins,7
1929,cling film/bags,8
1930,bottled beer,8
1931,butter,8
1931,pastry,6
1931,semi-finished bread,8
1931,white wine,8
1931,detergent,6
1932,root vegetables,9
1932,butter,8
1932,pot plants,8
1933,sausage,8
1933,ham,8
1933,meat,8
1933,pork,8
1933,tropical fruit,9
1933,pip fruit,9
1933,grapes,8
1933,other vegetables,9
1933,whole milk,8
1933,butter,8
1933,whipped/sour cream,8
1933,frozen meals,8
1933,frozen fish,8
1933,ice cream,8
1933,domestic eggs,8
1933,pastry,6
1933,soda,4
1933,syrup,6
1933,detergent,6
1934,ham,8
1934,whole milk,8
1934,spread cheese,8
1934,rolls/buns,8
1934,waffles,6
1934,newspapers,7
1935,soda,4
1935,canned beer,8
1936,chicken,8
1936,tropical fruit,9
1936,whole milk,8
1936,pastry,6
1936,soda,4
1936,long life bakery product,4
1936,waffles,6
1936,chocolate,8
1937,sausage,8
1937,pip fruit,9
1937,whole milk,8
1937,rolls/buns,8
1937,flour,6
1937,oil,8
1937,soda,4
1938,other vegetables,9
1938,soda,4
1939,whole milk,8
1939,bottled beer,8
1940,root vegetables,9
1941,chicken,8
1941,other vegetables,9
1941,whole milk,8
1942,tropical fruit,9
1942,pip fruit,9
1942,whole milk,8
1942,curd,8
1942,yogurt,8
1942,frozen vegetables,8
1942,frozen meals,8
1942,white bread,8
1942,instant coffee,8
1942,misc. beverages,8
1942,bottled beer,8
1942,hygiene articles,7
1943,pork,8
1943,root vegetables,9
1943,brown bread,6
1943,soda,4
1943,bottled beer,8
1944,tropical fruit,9
1944,pip fruit,9
1944,root vegetables,9
1944,whole milk,8
1944,yogurt,8
1944,beverages,8
1944,domestic eggs,8
1944,white bread,8
1944,sweet spreads,8
1944,soda,4
1945,chicken,8
1945,napkins,7
1946,other vegetables,9
1946,curd,8
1946,pastry,6
1946,Instant food products,8
1946,salty snack,8
1946,cake bar,6
1946,chewing gum,8
1946,napkins,7
1947,whipped/sour cream,8
1947,female sanitary products,7
1948,whole milk,8
1948,whipped/sour cream,8
1949,root vegetables,9
1949,other vegetables,9
1949,whole milk,8
1949,bottled water,8
1949,bottled beer,8
1950,sausage,8
1950,berries,9
1950,whole milk,8
1950,yogurt,8
1950,domestic eggs,8
1951,frozen vegetables,8
1952,beef,8
1952,whole milk,8
1952,butter,8
1952,rolls/buns,8
1952,cat food,8
1952,bottled beer,8
1953,root vegetables,9
1953,whole milk,8
1953,yogurt,8
1954,rolls/buns,8
1954,brown bread,6
1954,bottled water,8
1955,canned beer,8
1955,specialty chocolate,8
1956,sweet spreads,8
1956,coffee,8
1956,chocolate,8
1956,seasonal products,8
1957,beef,8
1957,pot plants,8
1958,frozen vegetables,8
1958,frozen meals,8
1959,bottled water,8
1959,specialty chocolate,8
1960,domestic eggs,8
1961,ice cream,8
1961,sugar,6
1961,napkins,7
1961,dishes,8
1962,ice cream,8
1962,roll products ,8
1962,Instant food products,8
1962,coffee,8
1962,candles,8
1963,butter,8
1963,whipped/sour cream,8
1963,brown bread,6
1963,pastry,6
1963,canned vegetables,8
1963,fruit/vegetable juice,8
1963,long life bakery product,4
1964,sausage,8
1965,ham,8
1965,tropical fruit,9
1965,specialty cheese,8
1965,long life bakery product,4
1965,hygiene articles,7
1965,newspapers,7
1966,citrus fruit,9
1966,pip fruit,9
1966,other vegetables,9
1966,whole milk,8
1966,butter,8
1966,cream cheese ,8
1966,domestic eggs,8
1966,vinegar,8
1966,fruit/vegetable juice,8
1966,softener,8
1966,napkins,7
1967,red/blush wine,8
1968,butter,8
1968,margarine,8
1969,whole milk,8
1969,bottled water,8
1969,fruit/vegetable juice,8
1970,hard cheese,8
1970,newspapers,7
1971,hygiene articles,7
1972,soups,4
1972,soda,4
1972,shopping bags,8
1973,pastry,6
1973,soda,4
1974,onions,9
1974,rolls/buns,8
1975,ice cream,8
1975,soda,4
1975,fruit/vegetable juice,8
1976,herbs,9
1977,citrus fruit,9
1977,pip fruit,9
1977,curd,8
1977,artif. sweetener,8
1977,dog food,8
1977,coffee,8
1978,white bread,8
1978,soda,4
1978,bottled beer,8
1979,pip fruit,9
1979,root vegetables,9
1979,sugar,6
1979,coffee,8
1979,bottled beer,8
1980,misc. beverages,8
1980,cake bar,6
1981,ice cream,8
1981,soda,4
1981,bottled beer,8
1981,salty snack,8
1982,pot plants,8
1983,beef,8
1983,tropical fruit,9
1983,frozen vegetables,8
1983,pickled vegetables,8
1983,bottled water,8
1983,soda,4
1984,canned beer,8
1985,cat food,8
1985,chocolate,8
1985,specialty chocolate,8
1986,whipped/sour cream,8
1987,shopping bags,8
1988,berries,9
1988,other vegetables,9
1988,yogurt,8
1989,whole milk,8
1989,pot plants,8
1990,root vegetables,9
1990,domestic eggs,8
1991,pork,8
1991,pip fruit,9
1991,other vegetables,9
1991,whole milk,8
1991,yogurt,8
1991,ketchup,8
1991,pickled vegetables,8
1991,soda,4
1991,detergent,6
1992,sausage,8
1992,pork,8
1992,fish,8
1992,citrus fruit,9
1992,berries,9
1992,whipped/sour cream,8
1992,soda,4
1992,fruit/vegetable juice,8
1992,bathroom cleaner,7
1992,soap,6
1993,bottled water,8
1994,ice cream,8
1994,bottled water,8
1995,berries,9
1995,root vegetables,9
1995,whole milk,8
1995,dessert,6
1995,yogurt,8
1995,whipped/sour cream,8
1995,cream cheese ,8
1995,semi-finished bread,8
1995,canned fruit,
1995,fruit/vegetable juice,8
1996,bottled beer,8
1996,shopping bags,8
1997,pork,8
1997,berries,9
1997,whole milk,8
1997,dessert,6
1997,whipped/sour cream,8
1997,fruit/vegetable juice,8
1997,candy,8
1998,ice cream,8
1998,soda,4
1998,specialty chocolate,8
1999,curd,8
1999,yogurt,8
1999,waffles,6
2000,sausage,8
2000,dessert,6
2000,soda,4
2001,rolls/buns,8
2001,vinegar,8
2001,bottled beer,8
2002,other vegetables,9
2002,domestic eggs,8
2002,soda,4
2003,other vegetables,9
2003,pastry,6
2004,root vegetables,9
2004,canned vegetables,8
2004,soda,4
2004,shopping bags,8
2005,other vegetables,9
2005,whole milk,8
2005,butter,8
2005,yogurt,8
2005,cream cheese ,8
2005,vinegar,8
2005,pet care,8
2005,fruit/vegetable juice,8
2005,cling film/bags,8
2006,pastry,6
2006,salty snack,8
2007,other vegetables,9
2007,brown bread,6
2007,soda,4
2008,other vegetables,9
2008,frozen vegetables,8
2008,pastry,6
2008,specialty bar,8
2009,citrus fruit,9
2009,tropical fruit,9
2009,whole milk,8
2009,domestic eggs,8
2009,pastry,6
2009,bottled water,8
2009,salty snack,8
2010,white bread,8
2011,citrus fruit,9
2011,berries,9
2011,onions,9
2011,other vegetables,9
2011,condensed milk,8
2011,soft cheese,8
2011,oil,8
2011,pickled vegetables,8
2011,specialty vegetables,9
2011,coffee,8
2011,bottled water,8
2011,soda,4
2011,bottled beer,8
2011,dish cleaner,8
2011,male cosmetics,7
2011,cling film/bags,8
2012,whole milk,8
2013,chocolate,8
2013,pot plants,8
2014,citrus fruit,9
2014,other vegetables,9
2014,frozen meals,8
2014,rice,9
2014,canned beer,8
2014,salty snack,8
2015,other vegetables,9
2015,yogurt,8
2015,fruit/vegetable juice,8
2015,shopping bags,8
2016,sausage,8
2016,chicken,8
2016,beef,8
2016,pip fruit,9
2016,root vegetables,9
2016,onions,9
2016,yogurt,8
2016,soft cheese,8
2016,mayonnaise,8
2016,margarine,8
2016,jam,8
2016,sweet spreads,8
2016,coffee,8
2016,bottled water,8
2016,soda,4
2016,dish cleaner,8
2017,root vegetables,9
2017,frozen meals,8
2017,white bread,8
2017,snack products,8
2017,hygiene articles,7
2018,sausage,8
2018,chicken,8
2018,pip fruit,9
2018,berries,9
2018,other vegetables,9
2018,dessert,6
2018,yogurt,8
2018,frozen vegetables,8
2018,frozen meals,8
2018,brown bread,6
2018,semi-finished bread,7
2018,ketchup,8
2018,spices,9
2018,ready soups,
2018,soda,4
2018,canned beer,8
2018,popcorn,8
2019,pip fruit,9
2019,vinegar,8
2019,bottled water,8
2019,shopping bags,8
2020,tropical fruit,9
2020,berries,9
2020,yogurt,8
2020,domestic eggs,8
2020,brown bread,6
2020,soda,4
2020,candy,8
2021,pork,8
2021,other vegetables,9
2021,whipped/sour cream,8
2022,whole milk,8
2022,yogurt,8
2022,cream cheese ,8
2022,oil,8
2022,pickled vegetables,8
2022,cat food,8
2022,misc. beverages,8
2022,long life bakery product,4
2022,chocolate,8
2022,specialty bar,8
2022,dishes,8
2023,mustard,8
2023,soda,4
2023,fruit/vegetable juice,8
2024,citrus fruit,9
2024,white bread,8
2024,ketchup,8
2024,fruit/vegetable juice,8
2024,bottled beer,8
2024,salty snack,8
2024,popcorn,8
2024,shopping bags,8
2025,whole milk,8
2025,margarine,8
2025,bottled water,8
2026,root vegetables,9
2026,curd,8
2026,dessert,6
2026,whipped/sour cream,8
2026,pastry,6
2026,sauces,8
2026,coffee,8
2026,soda,4
2026,fruit/vegetable juice,8
2026,newspapers,7
2027,citrus fruit,9
2027,tropical fruit,9
2027,other vegetables,9
2028,UHT-milk,8
2029,soda,4
2030,tropical fruit,9
2030,bottled beer,8
2031,shopping bags,8
2032,bottled beer,8
2033,beef,8
2033,grapes,8
2033,fruit/vegetable juice,8
2034,pip fruit,9
2034,sugar,6
2035,root vegetables,9
2035,onions,9
2035,other vegetables,9
2035,yogurt,8
2035,frozen meals,8
2035,vinegar,8
2035,canned vegetables,8
2035,soda,4
2035,salty snack,8
2035,napkins,7
2036,chicken,8
2036,beef,8
2036,citrus fruit,9
2036,whole milk,8
2036,cream cheese ,8
2036,domestic eggs,8
2036,rolls/buns,8
2036,canned beer,8
2036,napkins,7
2036,shopping bags,8
2037,bottled water,8
2038,flour,6
2039,pip fruit,9
2039,domestic eggs,8
2040,whole milk,8
2040,pastry,6
2040,fruit/vegetable juice,8
2040,canned beer,8
2040,specialty chocolate,8
2041,frankfurter,8
2041,whole milk,8
2041,bottled water,8
2041,specialty chocolate,8
2041,candy,8
2042,canned beer,8
2043,whole milk,8
2043,cream cheese ,8
2043,oil,8
2043,bottled water,8
2043,fruit/vegetable juice,8
2043,pot plants,8
2044,canned beer,8
2045,butter milk,8
2045,specialty chocolate,8
2046,margarine,8
